SNIPPET: 1314
Step	O
4	B-EXAMPLE_LABEL
.	O
Preparation	O
of	O
4-Amino-5-cyano-6-((1-(8-chloro-1-methyl-4-oxo-2-phenyl-1,4-dihydroquinolin-3-yl)	B-REACTION_PRODUCT
ethyl)	I-REACTION_PRODUCT
amino)	I-REACTION_PRODUCT
pyrimidine	I-REACTION_PRODUCT
Crude	O
3-(1-aminoethyl)-8-chloro-1-methyl-2-phenylquinolin-4(1H)-one	B-STARTING_MATERIAL
hydrochloride	I-STARTING_MATERIAL
(	O
1.21g	O
)	O
and	O
50ml	O
of	O
isopropanol	B-SOLVENT
were	O
added	B-REACTION_STEP
to	O
a	O
100ml	O
three-necked	O
flask	O
and	O
stirred	O
to	O
be	O
dissolved	O
.	O
4-Amino-5-cyano-6-chloropyrimidine	B-STARTING_MATERIAL
(	O
0.36g	O
,	O
0.036mol	O
)	O
and	O
potassium	B-REAGENT_CATALYST
carbonate	I-REAGENT_CATALYST
(	O
1.25g	O
,	O
0.09mol	O
)	O
were	O
then	O
added	B-REACTION_STEP
;	O
the	O
temperature	O
was	O
raised	B-REACTION_STEP
to	O
80°C	B-TEMPERATURE
and	O
reaction	O
was	O
carried	B-REACTION_STEP
out	I-REACTION_STEP
under	O
reflux	B-TEMPERATURE
for	O
5h	B-TIME
with	O
stirring	O
.	O
TLC	O
tracking	O
was	O
performed	O
until	O
the	O
completion	O
of	O
the	O
reaction	O
for	O
compound	O
9	B-OTHER_COMPOUND
.	O
The	O
reaction	O
was	O
stopped	O
and	O
suction	O
filtration	O
was	O
performed	O
.	O
The	O
filter	O
cake	O
was	O
washed	B-WORKUP
with	O
a	O
large	O
amount	O
of	O
ethyl	B-OTHER_COMPOUND
acetate	I-OTHER_COMPOUND
;	O
solvent	O
was	O
removed	O
under	O
reduced	O
pressure	O
;	O
and	O
methanol	B-OTHER_COMPOUND
and	O
silica	B-OTHER_COMPOUND
gel	I-OTHER_COMPOUND
were	O
added	B-WORKUP
to	O
the	O
residue	O
for	O
preparing	O
a	O
mixture	O
for	O
chromatography	O
.	O
After	O
column	O
chromatography	O
separation	O
,	O
0.93g	B-YIELD_OTHER
of	O
a	O
white	O
solid	B-REACTION_PRODUCT
was	O
obtained	B-REACTION_STEP
with	O
a	O
yield	O
of	O
72.1	B-YIELD_PERCENT
%	I-YIELD_PERCENT
.	O
SNIPPET: 0931
Example	O
5	B-EXAMPLE_LABEL
Synthesis	O
of	O
1-(5-difluoromethoxy-3-fluoropyridin-2-yl)-7-methoxy-3-methyl-8-(1-methyl-1H-pyrazol-4-yl)-1,3-dihydroimidazo[4,5-c]quinolin-2-one	B-REACTION_PRODUCT
(	O
Compound	O
Example	O
114	B-REACTION_PRODUCT
)	O
1-(3-Fluoro-5-hydroxy-2-pyridyl)-7-methoxy-3-methyl-8-(1-methylpyrazol-4-yl)imidazo-[4,5-c]quinolin-2-one	B-STARTING_MATERIAL
(	O
80	O
mg	O
,	O
0.18	O
mmol	O
,	O
95	O
%	O
)	O
,	O
potassium	B-REAGENT_CATALYST
carbonate	I-REAGENT_CATALYST
(	O
52.5	O
mg	O
,	O
0.36	O
mmol	O
,	O
95	O
%	O
)	O
,	O
N,N-dimethylformamide	B-SOLVENT
(	O
5	O
ml	O
)	O
were	O
initially	O
introduced	B-REACTION_STEP
in	O
a	O
sealed	O
8	O
ml	O
reaction	O
vessel	O
,	O
the	O
vessel	O
was	O
flushed	B-REACTION_STEP
with	O
chlorodifluoromethane	B-STARTING_MATERIAL
and	O
a	O
chlorodifluoromethane	B-STARTING_MATERIAL
atmosphere	O
was	O
maintained	B-REACTION_STEP
at	O
−30°	B-TEMPERATURE
C	I-TEMPERATURE
.	O
The	O
solution	O
was	O
stirred	B-REACTION_STEP
at	O
40°	B-TEMPERATURE
C	I-TEMPERATURE
.	O
for	O
2	B-TIME
days	I-TIME
.	O
The	O
reaction	O
was	O
then	O
terminated	B-WORKUP
by	O
addition	B-WORKUP
of	O
20	O
ml	O
of	O
ice-	O
water	B-OTHER_COMPOUND
.	O
The	O
solution	O
was	O
extracted	B-WORKUP
three	O
times	O
with	O
50	O
ml	O
of	O
ethyl	B-OTHER_COMPOUND
acetate	I-OTHER_COMPOUND
each	O
time	O
,	O
and	O
the	O
organic	O
phases	O
were	O
combined	O
.	O
The	O
mixture	O
was	O
washed	B-WORKUP
once	O
with	O
20	O
ml	O
of	O
salt	B-OTHER_COMPOUND
solution	O
,	O
dried	B-WORKUP
over	O
anhydrous	O
sodium	B-OTHER_COMPOUND
sulfate	I-OTHER_COMPOUND
and	O
evaporated	O
in	O
vacuo	O
.	O
The	O
crude	O
product	O
was	O
purified	O
by	O
means	O
of	O
preparative	O
HPLC	O
,	O
giving	B-REACTION_STEP
27.7	B-YIELD_OTHER
mg	I-YIELD_OTHER
(	O
32%	B-YIELD_PERCENT
)	O
of	O
1-(5-difluoromethoxy-3-fluoropyridin-2-yl)-7-methoxy-3-methyl-8-(1-methyl-1H-pyrazol-4-yl)-1,3-dihydroimidazo[4,5-c]quinolin-2-one	B-REACTION_PRODUCT
as	O
white	O
solid	O
.	O
SNIPPET: 0539
Synthesis	O
Example	O
18	B-EXAMPLE_LABEL
[3-(2-Fluoroethoxy)phenyl]-diphenyl-(3-phenylpropyl)phosphonium	B-REACTION_PRODUCT
bromide	I-REACTION_PRODUCT
(	O
TAP-022	B-REACTION_PRODUCT
)	O
A	O
reaction	O
vessel	O
was	O
charged	B-REACTION_STEP
with	O
[3-(2-fluoroethoxy)phenyl]-diphenylphosphine	B-STARTING_MATERIAL
(	O
50.0	O
mg	O
,	O
0.154	O
mmol	O
)	O
,	O
3-iodopropylbenzene	B-STARTING_MATERIAL
(	O
76.0	O
mg	O
,	O
0.308	O
mmol	O
)	O
,	O
and	O
acetonitrile	B-SOLVENT
(	O
1	O
mL	O
)	O
.	O
The	O
reaction	O
vessel	O
was	O
heated	B-REACTION_STEP
to	O
100°	B-TEMPERATURE
C	I-TEMPERATURE
.	O
,	O
and	O
the	O
contents	O
were	O
refluxed	B-TEMPERATURE
under	O
heating	B-REACTION_STEP
for	O
3.5	B-TIME
hours	I-TIME
.	O
After	O
the	O
reaction	O
,	O
the	O
reaction	O
solution	O
was	O
introduced	B-WORKUP
into	O
an	O
open	O
silica	B-OTHER_COMPOUND
gel	I-OTHER_COMPOUND
column	O
chromatography	O
system	O
to	O
elute	B-WORKUP
an	O
unreacted	O
compound	O
with	O
ethyl	B-OTHER_COMPOUND
acetate	I-OTHER_COMPOUND
.	O
Then	O
,	O
with	O
the	O
developing	O
solvent	O
being	O
replaced	B-WORKUP
by	O
methanol	B-OTHER_COMPOUND
:	O
CH2Cl2	B-OTHER_COMPOUND
=20:80	O
,	O
separation	O
was	O
done	O
to	O
yield	B-REACTION_STEP
a	O
product	B-REACTION_PRODUCT
(	O
73.5	B-YIELD_OTHER
mg	I-YIELD_OTHER
(	O
0.145	B-YIELD_OTHER
mmol	I-YIELD_OTHER
)	O
,	O
94%	B-YIELD_PERCENT
yield	O
,	O
light	O
yellow	O
solid	O
)	O
.	O
LRMS	O
(	O
FAB	O
)	O
calculated	O
for	O
C29H29FIOP+	O
(	O
[	O
M-I	O
]	O
+	O
)	O
:	O
443.2	O
,	O
found	O
:	O
443.2	O
(	O
[	O
M-I	O
]	O
+	O
)	O
.	O
Likewise	O
,	O
following	O
the	O
same	O
synthesis	O
procedure	O
,	O
the	O
compounds	O
shown	O
below	O
were	O
synthesized	O
by	O
reacting	O
[3-(2-fluoroethoxy)phenyl]-diphenylphosphine	B-OTHER_COMPOUND
,	O
[3-(3-fluoropropoxy)phenyl]-diphenylphosphine	B-OTHER_COMPOUND
,	O
or	O
[3-(4-fluorobutoxy)phenyl]-diphenylphosphine	B-OTHER_COMPOUND
with	O
an	O
electrophile	O
.	O
SNIPPET: 0616
Example	O
60	B-EXAMPLE_LABEL
Preparation	O
of	O
2-cyano-N-(2,4-difluorophenyl)-N-methyl-5-nitrobenzamide	B-REACTION_PRODUCT
(	O
C138	B-REACTION_PRODUCT
)	O
To	O
a	O
solution	O
of	O
2-bromo-N-(2,4-difluorophenyl)-N-methyl-5-nitrobenzamide	B-STARTING_MATERIAL
(	O
0.120	O
g	O
,	O
0.323	O
mmol	O
)	O
(	O
C149	B-STARTING_MATERIAL
)	O
in	O
N,N-dimethylformamide	B-SOLVENT
(	O
1.6	O
mL	O
)	O
was	O
added	B-REACTION_STEP
copper(I)	B-STARTING_MATERIAL
cyanide	I-STARTING_MATERIAL
(	O
0.145	O
g	O
,	O
