SNIPPET: 0007
(	O
Example	O
8	B-EXAMPLE_LABEL
)	O
Synthesis	O
of	O
1-(4-(dimethylamino)piperidin-1-yl)-3-(1-ethyl-1H-imidazol-2-yl)-3-hydroxypropan-1-one	B-REACTION_PRODUCT
:	O
A	O
solution	O
of	O
lithium	B-REAGENT_CATALYST
diisopropylamide	I-REAGENT_CATALYST
in	O
tetrahydrofuran	B-SOLVENT
(	O
2.0	O
M	O
,	O
0.969	O
mL	O
,	O
1.94	O
mmol	O
)	O
was	O
added	B-REACTION_STEP
dropwise	O
to	O
a	O
solution	O
of	O
1-(4-(dimethylamino)piperidin-1-yl)ethanone	B-STARTING_MATERIAL
(	O
0.300	O
g	O
,	O
1.76	O
mmol	O
)	O
in	O
tetrahydrofuran	B-SOLVENT
(	O
6.0	O
mL	O
)	O
at	O
-78°C	B-TEMPERATURE
and	O
the	O
reaction	O
liquid	O
was	O
stirred	B-REACTION_STEP
at	O
the	O
same	O
temperature	O
for	O
1	B-TIME
hour	I-TIME
.	O
A	O
solution	O
of	O
1-ethyl-1H-imidazole-2-carbaldehyde	B-STARTING_MATERIAL
(	O
0.262	O
g	O
,	O
2.12	O
mmol	O
)	O
in	O
tetrahydrofuran	B-SOLVENT
(	O
2.8	O
mL	O
)	O
was	O
added	B-REACTION_STEP
to	O
the	O
reaction	O
liquid	O
.	O
The	O
reaction	O
liquid	O
was	O
stirred	B-REACTION_STEP
for	O
1	B-TIME
hour	I-TIME
and	O
then	O
stirred	B-REACTION_STEP
at	O
0°C	B-TEMPERATURE
for	O
further	O
1	B-TIME
hour	I-TIME
.	O
A	O
saturated	O
aqueous	B-OTHER_COMPOUND
solution	O
of	O
ammonium	B-OTHER_COMPOUND
chloride	I-OTHER_COMPOUND
and	O
an	O
aqueous	B-OTHER_COMPOUND
solution	O
of	O
potassium	B-OTHER_COMPOUND
carbonate	I-OTHER_COMPOUND
were	O
sequentially	O
added	B-WORKUP
to	O
the	O
reaction	O
liquid	O
and	O
then	O
the	O
reaction	O
liquid	O
was	O
extracted	B-WORKUP
with	O
chloroform	B-OTHER_COMPOUND
.	O
The	O
organic	O
layer	O
was	O
washed	B-WORKUP
with	O
a	O
10	O
%	O
aqueous	B-OTHER_COMPOUND
solution	O
of	O
sodium	B-OTHER_COMPOUND
chloride	I-OTHER_COMPOUND
and	O
then	O
dried	B-WORKUP
over	O
anhydrous	O
sodium	B-OTHER_COMPOUND
sulfate	I-OTHER_COMPOUND
and	O
filtered	O
.	O
The	O
filtrate	O
was	O
concentrated	O
under	O
reduced	O
pressure	O
.	O
The	O
residue	O
was	O
purified	B-WORKUP
by	O
flash	O
column	O
chromatography	O
(	O
NH	O
silica	B-OTHER_COMPOUND
gel	I-OTHER_COMPOUND
,	O
chloroform	B-OTHER_COMPOUND
/	O
methanol	B-OTHER_COMPOUND
)	O
to	O
obtain	B-REACTION_STEP
1-(4-(dimethylamino)piperidin-1-yl)-3-(1-ethyl-1H-imidazol-2-yl)-3-hydroxypropan-1-one	B-REACTION_PRODUCT
(	O
0.221	B-YIELD_OTHER
g	I-YIELD_OTHER
,	O
0.751	B-YIELD_OTHER
mmol	I-YIELD_OTHER
,	O
43%	B-YIELD_PERCENT
)	O
(	O
hereinafter	O
referred	O
to	O
as	O
the	O
compound	B-REACTION_PRODUCT
of	I-REACTION_PRODUCT
Example	I-REACTION_PRODUCT
8	I-REACTION_PRODUCT
)	O
as	O
a	O
colorless	O
oil	O
.	O
SNIPPET: 0004
Step	O
2	B-EXAMPLE_LABEL
:	O
8-Chloro-1-(2,6-dichlorophenyl)-5-((2,2-dimethyl-1,3-dioxolan-4-yl)methoxy)-2-(hydroxymethyl)-1,6-naphthyridin-4(1H)-one	B-REACTION_PRODUCT
To	O
a	O
solution	O
of	O
2-(((tert-butyldimethylsilyl)oxy)methyl)-8-chloro-1-(2,6-dichlorophenyl)-5-((2,2-dimethyl-1,3-dioxolan-4-yl)methoxy)-1,6-naphthyridin-4(1H)-one	B-STARTING_MATERIAL
(	O
2.9	O
g	O
,	O
4.83	O
mmol	O
)	O
in	O
THF	B-SOLVENT
(	O
20	O
ml	O
)	O
was	O
added	B-REACTION_STEP
a	O
1	O
M	O
solution	O
of	O
TBAF	B-REAGENT_CATALYST
in	O
THF	B-SOLVENT
(	O
7.25	O
ml	O
,	O
7.25	O
mmol	O
)	O
at	O
0°	B-TEMPERATURE
C	I-TEMPERATURE
.	O
The	O
reaction	O
was	O
stirred	B-REACTION_STEP
at	O
0°	B-TEMPERATURE
C	I-TEMPERATURE
.	O
for	O
1	B-TIME
