SNIPPET: 0049
Example	O
58	B-EXAMPLE_LABEL
7Cyclopropylmethyl15isopropylisoxazol4ylmethyl3methyl1Hpurine263H7Hdione	B-REACTION_PRODUCT
Step	O
1	B-EXAMPLE_LABEL
7Cyclopropylmethyl15isopropylisoxazol4ylmethyl3methyl1Hpurine263H7Hdione	B-REACTION_PRODUCT
4Chloromethyl5isopropylisoxazole	B-STARTING_MATERIAL
100	O
mg	O
0.627	O
mmol	O
7cyclopropylmethyl3methyl1Hpurine263H7Hdione	B-STARTING_MATERIAL
138	O
mg	O
0.627	O
mmol	O
potassium	B-REAGENT_CATALYST
iodide	I-REAGENT_CATALYST
10.4	O
mg	O
0.0627	O
mmol	O
and	O
potassium	B-REAGENT_CATALYST
carbonate	I-REAGENT_CATALYST
260	O
mg	O
1.88	O
mmol	O
were	O
dissolved	B-REACTION_STEP
in	O
anhydrous	O
NNdimethylformamide	B-SOLVENT
5	O
mL	O
.	O
The	O
reaction	O
was	O
heated	B-REACTION_STEP
to	O
120°C	B-TEMPERATURE
and	O
reacted	B-REACTION_STEP
for	O
3	B-TIME
hours	I-TIME
.	O
The	O
reaction	O
solution	O
was	O
cooled	B-WORKUP
to	O
20°C	B-TEMPERATURE
filtered	O
and	O
purified	O
by	O
preparative	O
HPLC	O
to	O
give	B-REACTION_STEP
7cyclopropylmethyl15isopropylisoxazol4ylmethyl3methyl1Hpurine263H7Hdione	B-REACTION_PRODUCT
80.0	B-YIELD_OTHER
mg	I-YIELD_OTHER
with	O
a	O
yield	O
of	O
37%	B-YIELD_PERCENT
.	O
SNIPPET: 0036
Intermediate	O
6B	B-EXAMPLE_LABEL
5bromo3tertbutyldimethylsilyloxymethyl2methoxypyridine	B-REACTION_PRODUCT
5Bromo2methoxypyridin3ylmethanol	B-STARTING_MATERIAL
1.876	O
g	O
8.60	O
mmol	O
tertbutyldimethylsilyl	B-STARTING_MATERIAL
chloride	I-STARTING_MATERIAL
1.556	O
g	O
10.32	O
mmol	O
and	O
imidazole	B-REAGENT_CATALYST
0.879	O
g	O
12.91	O
mmol	O
were	O
stirred	B-REACTION_STEP
in	O
CH2Cl2	B-SOLVENT
35	O
mL	O
overnight	O
at	O
room	B-TEMPERATURE
temperature	I-TEMPERATURE
.	O
After	O
this	O
time	O
5	O
mL	O
of	O
CH3OH	B-OTHER_COMPOUND
was	O
added	B-WORKUP
to	O
quench	O
the	O
reaction	O
and	O
the	O
reaction	O
mixture	O
was	O
stirred	B-WORKUP
at	O
room	B-TEMPERATURE
temperature	I-TEMPERATURE
for	O
10	B-TIME
minutes	I-TIME
.	O
The	O
mixture	O
was	O
diluted	B-WORKUP
with	O
CH2Cl2	B-OTHER_COMPOUND
and	O
washed	B-WORKUP
twice	O
with	O
saturated	O
aqueous	B-OTHER_COMPOUND
NaHCO3	B-OTHER_COMPOUND
solution	O
and	O
once	O
with	O
brine	B-OTHER_COMPOUND
.	O
The	O
organic	O
solution	O
was	O
dried	B-WORKUP
over	O
Na2SO4	B-OTHER_COMPOUND
filtered	O
and	O
concentrated	O
to	O
afford	B-REACTION_STEP
the	O
title	B-REACTION_PRODUCT
compound	I-REACTION_PRODUCT
5bromo3tertbutyldimethylsilyloxymethyl2methoxypyridine	B-REACTION_PRODUCT
2.71	B-YIELD_OTHER
g	I-YIELD_OTHER
95%	B-YIELD_PERCENT
yield	O
.	O
SNIPPET: 0020
Step	O
2	B-EXAMPLE_LABEL
Synthesis	O
of	O
N2fluoro4hydrazinecarbonylbenzylNphenylacetamide	B-REACTION_PRODUCT
Methyl	B-STARTING_MATERIAL
3fluoro4Nphenylacetamidomethylbenzoate	I-STARTING_MATERIAL
0.158	O
g	O
0.524	O
mmol	O
synthesized	O
in	O
step	O
1	O
and	O
nitrogen	B-REAGENT_CATALYST
oxide	I-REAGENT_CATALYST
0.495	O
mL	O
10.487	O
mmol	O
were	O
mixed	B-REACTION_STEP
in	O
ethanol	B-SOLVENT
