0010-R0	ARGM	23Dichloro4nitropyrimidine 5.8 g 30 mmol was dissolved in anhydrous tetrahydrofuran 100 mL and the reaction solution was Δ cooled [/E1] to Θ 78°C [/E2] .
0010-R1	ARG1	The combined organic phases were Λ dried [/E1] over anhydrous Ο sodium sulfate [/E2] and filtered and the filtrate was concentrated under reduced pressure to deliver a yellow solid 7c 6.9 g yield 82% .
0010-R2	ARG1	The combined organic phases were dried over anhydrous sodium sulfate and filtered and the filtrate was concentrated under reduced pressure to Δ deliver [/E1] a yellow solid Π 7c [/E2] 6.9 g yield 82% .
0010-R3	ARGM	The combined organic phases were dried over anhydrous sodium sulfate and filtered and the filtrate was concentrated under reduced pressure to Δ deliver [/E1] a yellow solid 7c Υ 6.9 g [/E2] yield 82% .
0010-R4	ARGM	The combined organic phases were dried over anhydrous sodium sulfate and filtered and the filtrate was concentrated under reduced pressure to Δ deliver [/E1] a yellow solid 7c 6.9 g yield Ψ 82% [/E2] .
0010-R5	ARG1	The reaction mixutre was allowed to warm to room temperature 1 M aqueous hydrochloric acid solution 50 mL was added and then Λ extracted [/E1] with Ο dichloromethane [/E2] 50 mL × 3 .
0010-R6	ARG1	Α 23Dichloro4nitropyrimidine [/E1] 5.8 g 30 mmol was Δ dissolved [/E2] in anhydrous tetrahydrofuran 100 mL and the reaction solution was cooled to 78°C .
0010-R7	ARG1	23Dichloro4nitropyrimidine 5.8 g 30 mmol was Δ dissolved [/E1] in anhydrous Σ tetrahydrofuran [/E2] 100 mL and the reaction solution was cooled to 78°C .
0010-R8	ARG1	The reaction mixutre was allowed to warm to room temperature 1 M Ο aqueous [/E1] hydrochloric acid solution 50 mL was Λ added [/E2] and then extracted with dichloromethane 50 mL × 3 .
0010-R9	ARG1	The reaction mixutre was allowed to warm to room temperature 1 M aqueous Ο hydrochloric acid [/E1] solution 50 mL was Λ added [/E2] and then extracted with dichloromethane 50 mL × 3 .
