1042-R0	ARG1	Σ THF [/E1] 2.00mL was Δ added [/E2] thereto and the mixture was stirred at 60 °C for 40 minutes .
1042-R1	ARG1	The organic layer was Λ washed [/E1] with saturated Ο brine [/E2] and dried with anhydrous sodium sulfate .
1042-R2	ARG1	The reaction mixture was extracted with ethyl acetate after Λ addition [/E1] of ice Ο water [/E2] .
1042-R3	ARGM	The second step The synthesis of Compound 91 To a solution of Compound 90 344mg 0.738mmol in ethanol 6.88mL were added hydroxylamine hydrochloride 61.6mg 0.886mmol and triethylamine 90.0mg 0.886mmol and the mixture was Δ stirred [/E1] at Θ 60 °C [/E2] for 10 minutes .
1042-R4	ARGM	The second step The synthesis of Compound 91 To a solution of Compound 90 344mg 0.738mmol in ethanol 6.88mL were added hydroxylamine hydrochloride 61.6mg 0.886mmol and triethylamine 90.0mg 0.886mmol and the mixture was Δ stirred [/E1] at 60 °C for Τ 10 minutes [/E2] .
1042-R5	ARG1	The organic layer was washed with saturated brine and Λ dried [/E1] with anhydrous Ο sodium sulfate [/E2] .
1042-R6	ARG1	The reaction mixture was Λ extracted [/E1] with Ο ethyl acetate [/E2] after addition of ice water .
1042-R7	ARGM	THF 2.00mL was added thereto and the mixture was Δ stirred [/E1] at Θ 60 °C [/E2] for 40 minutes .
1042-R8	ARGM	THF 2.00mL was added thereto and the mixture was Δ stirred [/E1] at 60 °C for Τ 40 minutes [/E2] .
1042-R9	ARG1	The second step The synthesis of Compound 91 To a solution of Compound 90 344mg 0.738mmol in Σ ethanol [/E1] 6.88mL were Δ added [/E2] hydroxylamine hydrochloride 61.6mg 0.886mmol and triethylamine 90.0mg 0.886mmol and the mixture was stirred at 60 °C for 10 minutes .
1042-R10	ARG1	The second step The synthesis of Compound 91 To a solution of Compound Α 90 [/E1] 344mg 0.738mmol in ethanol 6.88mL were Δ added [/E2] hydroxylamine hydrochloride 61.6mg 0.886mmol and triethylamine 90.0mg 0.886mmol and the mixture was stirred at 60 °C for 10 minutes .
1042-R11	ARG1	The second step The synthesis of Compound 91 To a solution of Compound 90 344mg 0.738mmol in ethanol 6.88mL were Δ added [/E1] Β hydroxylamine hydrochloride [/E2] 61.6mg 0.886mmol and triethylamine 90.0mg 0.886mmol and the mixture was stirred at 60 °C for 10 minutes .
1042-R12	ARG1	The second step The synthesis of Compound 91 To a solution of Compound 90 344mg 0.738mmol in ethanol 6.88mL were Δ added [/E1] hydroxylamine hydrochloride 61.6mg 0.886mmol and Β triethylamine [/E2] 90.0mg 0.886mmol and the mixture was stirred at 60 °C for 10 minutes .
1042-R13	ARG1	The solvent was concentrated under reduced pressure and the resulting residue was Λ purified [/E1] by Ο silica gel [/E2] column chromatography hexane ethyl acetate to yield compound 91 243 mg yield 66% .
1042-R14	ARG1	The solvent was concentrated under reduced pressure and the resulting residue was Λ purified [/E1] by silica gel column chromatography Ο hexane [/E2] ethyl acetate to yield compound 91 243 mg yield 66% .
1042-R15	ARG1	The solvent was concentrated under reduced pressure and the resulting residue was Λ purified [/E1] by silica gel column chromatography hexane Ο ethyl acetate [/E2] to yield compound 91 243 mg yield 66% .
1042-R16	ARG1	The solvent was concentrated under reduced pressure and the resulting residue was purified by silica gel column chromatography hexane ethyl acetate to Δ yield [/E1] compound Π 91 [/E2] 243 mg yield 66% .
1042-R17	ARGM	The solvent was concentrated under reduced pressure and the resulting residue was purified by silica gel column chromatography hexane ethyl acetate to Δ yield [/E1] compound 91 Υ 243 mg [/E2] yield 66% .
1042-R18	ARGM	The solvent was concentrated under reduced pressure and the resulting residue was purified by silica gel column chromatography hexane ethyl acetate to Δ yield [/E1] compound 91 243 mg yield Ψ 66% [/E2] .
1042-N0	NONE	The second step The synthesis of Compound Π 91 [/E1] To a solution of Compound 90 344mg 0.738mmol in ethanol 6.88mL were Δ added [/E2] hydroxylamine hydrochloride 61.6mg 0.886mmol and triethylamine 90.0mg 0.886mmol and the mixture was stirred at 60 °C for 10 minutes .
1042-N1	NONE	The second step The synthesis of Compound 91 To a solution of Compound 90 344mg 0.738mmol in ethanol 6.88mL were Δ added [/E1] hydroxylamine hydrochloride 61.6mg 0.886mmol and triethylamine 90.0mg 0.886mmol and the mixture was stirred at Θ 60 °C [/E2] for 10 minutes .
1042-N2	NONE	The second step The synthesis of Compound 91 To a solution of Compound 90 344mg 0.738mmol in ethanol 6.88mL were Δ added [/E1] hydroxylamine hydrochloride 61.6mg 0.886mmol and triethylamine 90.0mg 0.886mmol and the mixture was stirred at 60 °C for Τ 10 minutes [/E2] .
1042-N3	NONE	The second step The synthesis of Compound 91 To a solution of Compound 90 344mg 0.738mmol in ethanol 6.88mL were added hydroxylamine hydrochloride 61.6mg 0.886mmol and Β triethylamine [/E1] 90.0mg 0.886mmol and the mixture was Δ stirred [/E2] at 60 °C for 10 minutes .
1042-N4	NONE	The second step The synthesis of Compound 91 To a solution of Compound 90 344mg 0.738mmol in ethanol 6.88mL were added Β hydroxylamine hydrochloride [/E1] 61.6mg 0.886mmol and triethylamine 90.0mg 0.886mmol and the mixture was Δ stirred [/E2] at 60 °C for 10 minutes .
1042-N5	NONE	The second step The synthesis of Compound 91 To a solution of Compound 90 344mg 0.738mmol in Σ ethanol [/E1] 6.88mL were added hydroxylamine hydrochloride 61.6mg 0.886mmol and triethylamine 90.0mg 0.886mmol and the mixture was Δ stirred [/E2] at 60 °C for 10 minutes .
1042-N6	NONE	The second step The synthesis of Compound 91 To a solution of Compound Α 90 [/E1] 344mg 0.738mmol in ethanol 6.88mL were added hydroxylamine hydrochloride 61.6mg 0.886mmol and triethylamine 90.0mg 0.886mmol and the mixture was Δ stirred [/E2] at 60 °C for 10 minutes .
1042-N7	NONE	The second step The synthesis of Compound 91 To a solution of Compound 90 344mg 0.738mmol in ethanol 6.88mL were added hydroxylamine hydrochloride 61.6mg 0.886mmol and triethylamine 90.0mg 0.886mmol and the mixture was Δ stirred [/E1] at 60 °C for 10 minutes . Σ THF [/E2] 2.00mL was added thereto and the mixture was stirred at 60 °C for 40 minutes .
1042-N8	NONE	The second step The synthesis of Compound 91 To a solution of Compound 90 344mg 0.738mmol in ethanol 6.88mL were added hydroxylamine hydrochloride 61.6mg 0.886mmol and triethylamine 90.0mg 0.886mmol and the mixture was stirred at 60 °C for Τ 10 minutes [/E1] . THF 2.00mL was Δ added [/E2] thereto and the mixture was stirred at 60 °C for 40 minutes .
1042-N9	NONE	The second step The synthesis of Compound 91 To a solution of Compound 90 344mg 0.738mmol in ethanol 6.88mL were added hydroxylamine hydrochloride 61.6mg 0.886mmol and triethylamine 90.0mg 0.886mmol and the mixture was stirred at Θ 60 °C [/E1] for 10 minutes . THF 2.00mL was Δ added [/E2] thereto and the mixture was stirred at 60 °C for 40 minutes .
